word,level
estar estresado,B1
levantar la mano,B1
barrer,B1
Documento Nacional de Identidad DNI,B1
bajar de un autobús,B1
voluntario de ONG,B1
exceso de equipaje,B1
ponerse contento,B1
descargarse música,B1
cambiar de dirección,B1
huelga,B1
hacer una carrera,B1
geográfico,B1
DNI Documento Nacional de Identidad,B1
tráfico,B1
cheques de viaje,B1
cordero,B1
comunicarse con alguien por correo electrónico,B1
jarra de cerveza,B1
aprobar un examen oral,B1
embajada,B1
energía,B1
guisantes,B1
ingresar en urgencias,B1
cristiano,B1
inorgánico,B1
mirar en un diccionario,B1
ponerse a el teléfono,B1
ambiente moderno,B1
tener garantía,B1
carta personal,B1
jugar al béisbol,B1
catálogo,B1
plano turístico,B1
Corán,B1
ropa de invierno,B1
un análisis de sangre,B1
facturar las maletas,B1
diseñador,B1
jefe de Estado,B1
contraseña,B1
esperar un hijo,B1
lesbiana,B1
hacer la compra,B1
psicólogo,B1
hacer transbordo,B1
cámara digital,B1
océano Ártico,B1
impaciente,B1
vidrio reciclado,B1
de cuadros,B1
usuario,B1
femenino,B1
pescado a la plancha,B1
colaborar como voluntario,B1
película de aventuras,B1
vuelta,B1
importar,B1
terminar una carrera,B1
intranquilidad,B1
seleccionar una palabra,B1
sacerdote,B1
restaurante sencillo,B1
pedir una beca,B1
buceador,B1
amigo de la infancia,B1
botas,B1
hacer la cama,B1
viaje de larga duración,B1
estar estropeado,B1
publicitario,B1
tener de oferta,B1
impresora láser,B1
producto para diabéticos,B1
pasar por la caja,B1
trabajador,B1
hacer camping,B1
copiar una palabra,B1
sociólogo,B1
dar información,B1
comprar por catálogo,B1
tomar una ración,B1
hacer un pedido,B1
pesimismo,B1
orquesta,B1
publicar un artículo,B1
mirada,B1
barrio industrial,B1
emigrante,B1
regar el jardín,B1
reptil,B1
poner dinero de la cuenta,B1
picante,B1
cortarse una mano,B1
ministro de Defensa,B1
cosercarro,B1
foto digital,B1
vida,B1
calorías,B1
comida tradicional,B1
ganar una beca,B1
historia,B1
bomba,B1
gobernar,B1
fibra,B1
camión,B1
santo,B1
bolsa,B1
cielo,B1
separación,B1
paso de peatones,B1
continente,B1
perfume,B1
amor,B1
vivir en el centro,B1
algodón,B1
mar Rojo,B1
nacional,B1
carne a la plancha,B1
adelgazar,B1
club,B1
pensión,B1
original,B1
asiento de un teatro,B1
nata,B1
vacación,B1
estar borracho,B1
nublarse,B1
bachillerato,B1
conversación telefónica,B1
terminar un doctorado,B1
geografía,B1
hombros,B1
reciclar vidrio,B1
estación del año,B1
discutir con los hijos,B1
terremoto,B1
polo norte,B1
matrícula,B1
traductor,B1
frigorífico,B1
haber un embotellamiento,B1
actitud positiva,B1
obra de arte,B1
crecer fuerte,B1
tener precios especiales,B1
zapatos deportivos,B1
afueras,B1
campo de fútbol,B1
irse  a,B1
película de dibujos animados,B1
fiesta tradicional,B1
enchufar un electrodoméstico,B1
baile,B1
suplemento cultural,B1
cartero,B1
gasolina sin plomo,B1
Biblia,B1
ayudar,B1
posibilidad de promoción,B1
cadena público,B1
hacer natación,B1
empezar una relación,B1
mover la cabeza,B1
documental,B1
romperse una pierna,B1
salir voluntario,B1
alimentación sana,B1
abrazarse,B1
leche descremada,B1
hacer  régimen,B1
clara de huevo,B1
gasolina súper,B1
para llevar,B1
alcalde,B1
diario,B1
sentir sueño,B1
tender la ropa,B1
bajar de un tren,B1
reciclaje,B1
perder el equipaje,B1
escalador,B1
sentir frío,B1
vía,B1
planta de interior,B1
tablero,B1
contenedor de vidrio,B1
cuchillo,B1
hacer clic con el ratón,B1
puesto de trabajo,B1
árbol frutal,B1
empleado de banca,B1
pintarse los labios,B1
quemar una mano,B1
final feliz,B1
cesta de la compra,B1
paseo,B1
funcionario,B1
alimento pesado,B1
copa de vino,B1
vestido de noche,B1
producto natural,B1
enfadarse,B1
perder el tren,B1
jugar a los bolos,B1
caerse,B1
ser virgen,B1
joya,B1
masculino,B1
Ministerio,B1
público,B1
tener rebajas,B1
perder el autobús,B1
conducir,B1
casco histórico,B1
cortarse la comunicación,B1
película de amor,B1
elemento químico,B1
opinión,B1
aparcamiento,B1
cambio,B1
tener descuento,B1
intercambiar imágenes,B1
boda,B1
símbolo químico,B1
cambiarse de sitio,B1
veterinaria,B1
hacer un esquema,B1
espacio,B1
pagar en efectivo,B1
montañero,B1
ir a la cárcel,B1
encontrarse fatal,B1
chuleta de cerdo,B1
imaginación,B1
quitar un electrodoméstico,B1
novela de aventuras,B1
abrir una cuenta de correo,B1
muy hecho,B1
médico de guardia,B1
pintar un paisaje,B1
sentirse regular,B1
estar bien,B1
portarse mal,B1
quedar corto,B1
cosercarro de la compra,B1
carpeta,B1
intercambiar datos,B1
